transaction_id,purchase_date,category,product_name,channel,customer_age_group,customer_gender,quantity,unit_price,discount_rate,revenue,customer_id
TX51477,2024-06-06,Beauty,Lipstick,Mobile App,18-25,F,1,22,0,22,U00370
TX52056,2024-06-06,Electronics,Headphones,Social Media,46-55,Other,1,80.1,0.1,80.1,U00504
TX50233,2024-06-07,Beauty,Skincare Set,Mobile App,56+,M,1,89,0,89,U00206
TX51035,2024-06-07,Beauty,Face Mask,Marketplace,36-45,M,3,18,0,54,U00415
TX51202,2024-06-07,Electronics,Headphones,Social Media,18-25,M,2,89,0,178,U00796
TX51705,2024-06-07,Beauty,Hair Dryer,Web,18-25,M,2,65,0,130,U00829
TX51841,2024-06-07,Clothing,Hoodie,Social Media,18-25,Other,1,55,0,55,U00893
TX50518,2024-06-08,Clothing,Dress,Marketplace,56+,Other,1,75,0,75,U00817
TX50739,2024-06-08,Clothing,Jeans,Mobile App,36-45,Other,2,65,0,130,U00558
TX50807,2024-06-08,Books,Fiction Novel,Web,56+,Other,1,12.6,0.3,12.6,U00150
TX50888,2024-06-08,Beauty,Lipstick,Marketplace,46-55,M,2,19.8,0.1,39.6,U00491
TX51052,2024-06-08,Clothing,Hoodie,Web,46-55,F,1,49.5,0.1,49.5,U00831
TX51144,2024-06-08,Clothing,Hoodie,Social Media,18-25,F,1,44.0,0.2,44.0,U00777
TX51537,2024-06-08,Home,Curtain,Mobile App,46-55,M,1,65,0,65,U00070
TX51714,2024-06-08,Beauty,Skincare Set,Social Media,18-25,Other,2,89,0,178,U00363
TX51809,2024-06-08,Electronics,Bluetooth Speaker,Social Media,18-25,M,2,79,0,158,U00393
TX51969,2024-06-08,Books,Fiction Novel,Web,36-45,Other,1,18,0,18,U00521
TX52367,2024-06-08,Books,Tech Manual,Web,18-25,M,1,45,0,45,U00896
TX50147,2024-06-09,Clothing,Sneakers,Web,26-35,Other,2,85.5,0.1,171.0,U00569
TX50445,2024-06-09,Home,Curtain,Mobile App,46-55,M,1,58.5,0.1,58.5,U00319
TX50476,2024-06-09,Books,Tech Manual,Mobile App,26-35,F,1,40.5,0.1,40.5,U00748
TX50701,2024-06-09,Beauty,Lipstick,Web,56+,Other,2,22,0,44,U00374
TX50720,2024-06-09,Electronics,Smart Watch,Marketplace,46-55,M,1,159.2,0.2,159.2,U00777
TX50945,2024-06-09,Clothing,Hoodie,Marketplace,26-35,M,3,55,0,165,U00894
TX51465,2024-06-09,Electronics,Bluetooth Speaker,Mobile App,26-35,F,1,71.1,0.1,71.1,U00335
TX51807,2024-06-09,Electronics,Bluetooth Speaker,Marketplace,46-55,Other,2,71.1,0.1,142.2,U00455
TX50310,2024-06-10,Electronics,Headphones,Web,18-25,Other,2,89,0,178,U00520
TX50670,2024-06-10,Home,Pillow,Social Media,18-25,Other,1,35,0,35,U00032
TX51050,2024-06-10,Clothing,Dress,Mobile App,56+,F,1,60.0,0.2,60.0,U00849
TX51182,2024-06-10,Clothing,Hoodie,Marketplace,46-55,F,1,44.0,0.2,44.0,U00004
TX51991,2024-06-10,Electronics,Charger,Web,46-55,F,1,31.5,0.1,31.5,U00578
TX52266,2024-06-10,Books,Fiction Novel,Marketplace,46-55,M,2,16.2,0.1,32.4,U00317
TX50314,2024-06-11,Clothing,Sneakers,Social Media,26-35,M,2,76.0,0.2,152.0,U00719
TX51442,2024-06-11,Home,Curtain,Marketplace,18-25,F,1,65,0,65,U00125
TX51897,2024-06-11,Home,Bedsheet,Social Media,18-25,M,2,45,0,90,U00599
TX51917,2024-06-11,Home,Curtain,Web,18-25,Other,1,52.0,0.2,52.0,U00887
TX51918,2024-06-11,Home,Bedsheet,Marketplace,46-55,Other,2,45,0,90,U00655
TX51962,2024-06-11,Electronics,Bluetooth Speaker,Mobile App,18-25,F,3,79,0,237,U00276
TX52282,2024-06-11,Electronics,Bluetooth Speaker,Marketplace,46-55,F,1,79,0,79,U00815
TX52347,2024-06-11,Electronics,Bluetooth Speaker,Marketplace,36-45,M,1,71.1,0.1,71.1,U00044
TX52469,2024-06-11,Beauty,Skincare Set,Social Media,46-55,F,1,89,0,89,U00262
TX50201,2024-06-12,Clothing,Dress,Social Media,26-35,F,1,75,0,75,U00862
TX50634,2024-06-12,Beauty,Lipstick,Social Media,56+,M,2,15.4,0.3,30.8,U00725
TX50978,2024-06-12,Books,Self-Help,Web,56+,F,1,19.8,0.1,19.8,U00371
TX50283,2024-06-13,Books,Self-Help,Social Media,18-25,M,1,17.6,0.2,17.6,U00668
TX50377,2024-06-13,Home,Lamp,Mobile App,56+,Other,1,55,0,55,U00490
TX51502,2024-06-13,Clothing,Jeans,Mobile App,46-55,M,1,65,0,65,U00105
TX51556,2024-06-13,Electronics,Charger,Mobile App,18-25,M,1,35,0,35,U00736
TX52257,2024-06-13,Home,Pillow,Social Media,56+,Other,1,28.0,0.2,28.0,U00123
TX52419,2024-06-13,Books,Biography,Mobile App,46-55,Other,2,28,0,56,U00178
TX50038,2024-06-14,Clothing,Jeans,Web,18-25,Other,1,58.5,0.1,58.5,U00833
TX50048,2024-06-14,Beauty,Lipstick,Web,18-25,F,2,22,0,44,U00466
TX50122,2024-06-14,Beauty,Lipstick,Marketplace,56+,M,1,22,0,22,U00605
TX51114,2024-06-14,Clothing,Dress,Mobile App,56+,F,1,60.0,0.2,60.0,U00109
TX51263,2024-06-14,Beauty,Hair Dryer,Marketplace,56+,Other,1,65,0,65,U00820
TX51435,2024-06-14,Electronics,Smart Watch,Web,26-35,Other,2,199,0,398,U00428
TX51884,2024-06-14,Home,Bedsheet,Web,36-45,Other,2,45,0,90,U00348
TX52291,2024-06-14,Home,Curtain,Social Media,46-55,F,2,65,0,130,U00678
TX50214,2024-06-15,Clothing,Hoodie,Mobile App,56+,Other,2,49.5,0.1,99.0,U00579
TX50963,2024-06-15,Electronics,Smart Watch,Web,46-55,F,2,199,0,398,U00558
TX51863,2024-06-15,Clothing,Jeans,Mobile App,36-45,Other,1,65,0,65,U00311
TX51898,2024-06-15,Home,Bedsheet,Social Media,46-55,F,1,36.0,0.2,36.0,U00108
TX50075,2024-06-16,Books,Tech Manual,Web,56+,F,1,36.0,0.2,36.0,U00426
TX51002,2024-06-16,Beauty,Perfume,Marketplace,36-45,Other,2,99.0,0.1,198.0,U00555
TX51115,2024-06-16,Electronics,Smart Watch,Social Media,18-25,Other,2,159.2,0.2,318.4,U00095
TX51408,2024-06-16,Home,Pillow,Social Media,46-55,Other,1,31.5,0.1,31.5,U00405
TX51994,2024-06-16,Clothing,Jeans,Web,56+,M,3,58.5,0.1,175.5,U00859
TX50054,2024-06-17,Home,Pillow,Mobile App,56+,M,1,35,0,35,U00728
TX50188,2024-06-17,Home,Bedsheet,Web,36-45,M,1,45,0,45,U00253
TX50366,2024-06-17,Books,Cookbook,Social Media,56+,F,1,25,0,25,U00742
TX50469,2024-06-17,Electronics,Headphones,Web,18-25,F,1,89,0,89,U00754
TX50877,2024-06-17,Beauty,Hair Dryer,Web,46-55,F,1,52.0,0.2,52.0,U00746
TX51126,2024-06-17,Clothing,T-Shirt,Marketplace,18-25,M,3,28,0,84,U00326
TX51188,2024-06-17,Home,Rug,Mobile App,26-35,M,1,120,0,120,U00670
TX51220,2024-06-17,Beauty,Face Mask,Mobile App,26-35,Other,1,18,0,18,U00547
TX51713,2024-06-17,Electronics,Headphones,Marketplace,26-35,M,1,89,0,89,U00402
TX51745,2024-06-17,Books,Cookbook,Social Media,46-55,M,3,25,0,75,U00802
TX51767,2024-06-17,Beauty,Skincare Set,Web,26-35,F,1,71.2,0.2,71.2,U00424
TX51922,2024-06-17,Home,Rug,Social Media,46-55,F,2,120,0,240,U00149
TX52397,2024-06-17,Books,Tech Manual,Marketplace,46-55,Other,1,45,0,45,U00239
TX50934,2024-06-18,Clothing,Jeans,Mobile App,26-35,F,1,52.0,0.2,52.0,U00219
TX52108,2024-06-18,Books,Tech Manual,Web,46-55,Other,1,40.5,0.1,40.5,U00638
TX52262,2024-06-18,Home,Lamp,Marketplace,18-25,M,1,38.5,0.3,38.5,U00708
TX50554,2024-06-19,Beauty,Lipstick,Marketplace,26-35,Other,1,22,0,22,U00856
TX50571,2024-06-19,Beauty,Hair Dryer,Web,46-55,Other,1,58.5,0.1,58.5,U00443
TX50943,2024-06-19,Home,Pillow,Mobile App,26-35,Other,1,35,0,35,U00554
TX50951,2024-06-19,Electronics,Phone Case,Marketplace,56+,M,1,25,0,25,U00224
TX50992,2024-06-19,Home,Bedsheet,Mobile App,18-25,F,1,40.5,0.1,40.5,U00279
TX51240,2024-06-19,Beauty,Face Mask,Marketplace,46-55,Other,1,18,0,18,U00749
TX51359,2024-06-19,Electronics,Bluetooth Speaker,Marketplace,46-55,Other,1,71.1,0.1,71.1,U00592
TX51458,2024-06-19,Beauty,Face Mask,Social Media,46-55,Other,2,16.2,0.1,32.4,U00516
TX50139,2024-06-20,Electronics,Phone Case,Social Media,18-25,M,2,25,0,50,U00593
TX50431,2024-06-20,Books,Biography,Marketplace,26-35,M,2,28,0,56,U00256
TX51460,2024-06-20,Beauty,Skincare Set,Marketplace,18-25,Other,1,89,0,89,U00318
TX52157,2024-06-20,Books,Tech Manual,Social Media,56+,M,1,45,0,45,U00429
TX52171,2024-06-20,Electronics,Charger,Web,26-35,F,2,24.5,0.3,49.0,U00455
TX51063,2024-06-21,Beauty,Skincare Set,Marketplace,26-35,Other,1,89,0,89,U00153
TX51410,2024-06-21,Beauty,Perfume,Web,18-25,F,1,110,0,110,U00853
TX52162,2024-06-21,Beauty,Lipstick,Marketplace,46-55,M,1,15.4,0.3,15.4,U00526
TX50491,2024-06-22,Electronics,Smart Watch,Marketplace,46-55,F,3,199,0,597,U00266
TX50741,2024-06-22,Clothing,T-Shirt,Web,26-35,M,2,22.4,0.2,44.8,U00696
TX51112,2024-06-22,Home,Bedsheet,Mobile App,26-35,M,1,40.5,0.1,40.5,U00135
TX51510,2024-06-22,Electronics,Smart Watch,Mobile App,18-25,M,1,199,0,199,U00199
TX51970,2024-06-22,Books,Fiction Novel,Marketplace,18-25,M,1,18,0,18,U00035
TX52389,2024-06-22,Home,Lamp,Mobile App,26-35,F,1,55,0,55,U00485
TX50436,2024-06-23,Home,Curtain,Mobile App,18-25,F,1,65,0,65,U00781
TX50509,2024-06-23,Home,Rug,Web,26-35,Other,2,96.0,0.2,192.0,U00529
TX50736,2024-06-23,Books,Fiction Novel,Mobile App,46-55,Other,2,18,0,36,U00567
TX51103,2024-06-23,Books,Biography,Web,46-55,F,1,25.2,0.1,25.2,U00765
TX51142,2024-06-23,Electronics,Charger,Social Media,26-35,Other,3,24.5,0.3,73.5,U00646
TX51239,2024-06-23,Beauty,Perfume,Social Media,36-45,F,1,110,0,110,U00508
TX51283,2024-06-23,Clothing,Hoodie,Mobile App,26-35,Other,1,55,0,55,U00223
TX50051,2024-06-24,Clothing,Sneakers,Social Media,56+,Other,1,95,0,95,U00424
TX50199,2024-06-24,Beauty,Lipstick,Mobile App,26-35,F,1,22,0,22,U00383
TX50347,2024-06-24,Clothing,Dress,Web,26-35,M,1,67.5,0.1,67.5,U00136
TX50446,2024-06-24,Clothing,Sneakers,Social Media,18-25,M,2,85.5,0.1,171.0,U00852
TX50466,2024-06-24,Books,Self-Help,Marketplace,46-55,M,2,19.8,0.1,39.6,U00744
TX50830,2024-06-24,Electronics,Headphones,Mobile App,36-45,M,1,89,0,89,U00519
TX51544,2024-06-24,Clothing,T-Shirt,Web,26-35,Other,1,22.4,0.2,22.4,U00416
TX51635,2024-06-24,Home,Bedsheet,Social Media,18-25,Other,3,45,0,135,U00050
TX51646,2024-06-24,Clothing,Jeans,Social Media,46-55,F,1,65,0,65,U00036
TX52084,2024-06-24,Beauty,Skincare Set,Web,18-25,F,1,89,0,89,U00453
TX52303,2024-06-24,Electronics,Charger,Web,46-55,M,1,35,0,35,U00230
TX52360,2024-06-24,Beauty,Hair Dryer,Mobile App,26-35,Other,1,58.5,0.1,58.5,U00778
TX52364,2024-06-24,Home,Rug,Marketplace,46-55,Other,1,120,0,120,U00900
TX52373,2024-06-24,Books,Fiction Novel,Social Media,56+,M,1,18,0,18,U00840
TX50105,2024-06-25,Home,Curtain,Web,18-25,F,1,65,0,65,U00777
TX50364,2024-06-25,Home,Bedsheet,Web,18-25,Other,1,45,0,45,U00318
TX50637,2024-06-25,Electronics,Charger,Marketplace,36-45,Other,2,35,0,70,U00491
TX51524,2024-06-25,Beauty,Face Mask,Marketplace,56+,Other,1,18,0,18,U00801
TX51607,2024-06-25,Books,Biography,Social Media,18-25,F,3,28,0,84,U00617
TX51888,2024-06-25,Books,Tech Manual,Mobile App,18-25,M,2,40.5,0.1,81.0,U00894
TX52024,2024-06-25,Clothing,T-Shirt,Social Media,56+,F,1,25.2,0.1,25.2,U00263
TX52392,2024-06-25,Beauty,Lipstick,Web,46-55,F,1,22,0,22,U00153
TX52439,2024-06-25,Books,Fiction Novel,Marketplace,36-45,M,1,18,0,18,U00319
TX50004,2024-06-26,Beauty,Lipstick,Marketplace,56+,Other,3,22,0,66,U00379
TX50671,2024-06-26,Books,Self-Help,Marketplace,46-55,F,1,22,0,22,U00490
TX51539,2024-06-26,Clothing,Jeans,Marketplace,46-55,F,1,65,0,65,U00145
TX52480,2024-06-26,Clothing,T-Shirt,Web,26-35,M,2,22.4,0.2,44.8,U00542
TX50093,2024-06-27,Books,Self-Help,Social Media,26-35,F,1,22,0,22,U00320
TX50440,2024-06-27,Electronics,Phone Case,Web,18-25,F,1,20.0,0.2,20.0,U00818
TX50684,2024-06-27,Home,Pillow,Social Media,56+,F,1,35,0,35,U00742
TX50784,2024-06-27,Books,Biography,Mobile App,18-25,F,1,28,0,28,U00271
TX50918,2024-06-27,Beauty,Skincare Set,Web,18-25,F,1,80.1,0.1,80.1,U00152
TX51535,2024-06-27,Electronics,Smart Watch,Web,46-55,Other,1,199,0,199,U00273
TX51851,2024-06-27,Clothing,Sneakers,Social Media,26-35,Other,2,76.0,0.2,152.0,U00247
TX51908,2024-06-27,Clothing,T-Shirt,Web,46-55,M,1,28,0,28,U00154
TX52379,2024-06-27,Home,Rug,Social Media,18-25,F,2,120,0,240,U00501
TX52468,2024-06-27,Beauty,Lipstick,Web,56+,M,1,22,0,22,U00661
TX52471,2024-06-27,Home,Curtain,Mobile App,46-55,Other,1,65,0,65,U00530
TX50111,2024-06-28,Books,Self-Help,Social Media,26-35,M,1,19.8,0.1,19.8,U00678
TX50761,2024-06-28,Beauty,Hair Dryer,Social Media,26-35,Other,1,65,0,65,U00493
TX50882,2024-06-28,Home,Lamp,Social Media,26-35,Other,1,55,0,55,U00149
TX51364,2024-06-28,Clothing,Dress,Social Media,36-45,M,1,67.5,0.1,67.5,U00517
TX51587,2024-06-28,Beauty,Perfume,Marketplace,18-25,Other,1,88.0,0.2,88.0,U00281
TX51590,2024-06-28,Books,Tech Manual,Mobile App,36-45,M,1,45,0,45,U00005
TX51798,2024-06-28,Home,Curtain,Social Media,18-25,F,1,65,0,65,U00718
TX52208,2024-06-28,Electronics,Bluetooth Speaker,Web,36-45,F,2,79,0,158,U00713
TX50402,2024-06-29,Clothing,Hoodie,Marketplace,36-45,Other,1,49.5,0.1,49.5,U00796
TX51254,2024-06-29,Home,Lamp,Mobile App,56+,M,1,49.5,0.1,49.5,U00455
TX52375,2024-06-29,Electronics,Headphones,Marketplace,56+,M,1,89,0,89,U00247
TX50724,2024-06-30,Clothing,Sneakers,Marketplace,18-25,Other,3,95,0,285,U00060
TX50829,2024-06-30,Home,Curtain,Marketplace,26-35,Other,3,65,0,195,U00373
TX51243,2024-06-30,Books,Fiction Novel,Mobile App,46-55,M,1,14.4,0.2,14.4,U00252
TX51581,2024-06-30,Books,Self-Help,Mobile App,18-25,F,2,19.8,0.1,39.6,U00553
TX52149,2024-06-30,Electronics,Bluetooth Speaker,Marketplace,26-35,F,1,79,0,79,U00113
TX52344,2024-06-30,Beauty,Face Mask,Social Media,18-25,Other,2,16.2,0.1,32.4,U00779
TX50325,2024-07-01,Home,Bedsheet,Social Media,46-55,F,1,45,0,45,U00751
TX51000,2024-07-01,Electronics,Charger,Web,18-25,Other,1,31.5,0.1,31.5,U00508
TX51130,2024-07-01,Beauty,Skincare Set,Marketplace,56+,M,1,80.1,0.1,80.1,U00569
TX51471,2024-07-01,Electronics,Bluetooth Speaker,Mobile App,26-35,F,1,55.3,0.3,55.3,U00086
TX51609,2024-07-01,Beauty,Skincare Set,Social Media,46-55,M,1,89,0,89,U00339
TX51691,2024-07-01,Electronics,Phone Case,Marketplace,46-55,Other,1,25,0,25,U00201
TX51711,2024-07-01,Books,Biography,Marketplace,26-35,M,2,28,0,56,U00038
TX51899,2024-07-01,Books,Fiction Novel,Social Media,56+,Other,1,18,0,18,U00238
TX52315,2024-07-01,Home,Rug,Social Media,56+,M,3,84.0,0.3,252.0,U00158
TX50883,2024-07-02,Beauty,Skincare Set,Web,18-25,F,1,80.1,0.1,80.1,U00432
TX50952,2024-07-02,Clothing,Hoodie,Mobile App,26-35,Other,1,49.5,0.1,49.5,U00353
TX51873,2024-07-02,Electronics,Charger,Social Media,26-35,F,1,31.5,0.1,31.5,U00537
TX51997,2024-07-02,Home,Bedsheet,Mobile App,46-55,Other,1,45,0,45,U00178
TX52249,2024-07-02,Beauty,Skincare Set,Web,56+,F,2,89,0,178,U00736
TX50056,2024-07-03,Home,Curtain,Web,26-35,F,3,58.5,0.1,175.5,U00664
TX50353,2024-07-03,Beauty,Skincare Set,Social Media,26-35,Other,2,89,0,178,U00630
TX50413,2024-07-03,Electronics,Smart Watch,Mobile App,46-55,M,1,179.1,0.1,179.1,U00030
TX50531,2024-07-03,Home,Rug,Mobile App,46-55,M,1,96.0,0.2,96.0,U00331
TX51148,2024-07-03,Home,Curtain,Mobile App,36-45,F,3,65,0,195,U00281
TX52178,2024-07-03,Beauty,Lipstick,Marketplace,36-45,M,1,22,0,22,U00757
TX50114,2024-07-04,Home,Curtain,Mobile App,36-45,F,2,65,0,130,U00894
TX50288,2024-07-04,Home,Rug,Mobile App,56+,Other,2,108.0,0.1,216.0,U00052
TX50427,2024-07-04,Books,Cookbook,Mobile App,36-45,F,1,25,0,25,U00288
TX51001,2024-07-04,Home,Bedsheet,Mobile App,26-35,M,1,45,0,45,U00221
TX51093,2024-07-04,Beauty,Hair Dryer,Web,18-25,Other,1,65,0,65,U00011
TX51613,2024-07-04,Home,Lamp,Marketplace,18-25,M,2,49.5,0.1,99.0,U00321
TX51673,2024-07-04,Beauty,Perfume,Web,18-25,M,2,110,0,220,U00051
TX52011,2024-07-04,Electronics,Bluetooth Speaker,Mobile App,36-45,Other,1,79,0,79,U00053
TX52203,2024-07-04,Beauty,Perfume,Mobile App,18-25,M,1,110,0,110,U00771
TX50243,2024-07-05,Electronics,Phone Case,Marketplace,46-55,M,1,25,0,25,U00522
TX50256,2024-07-05,Home,Rug,Social Media,56+,M,2,96.0,0.2,192.0,U00620
TX50791,2024-07-05,Books,Cookbook,Mobile App,56+,F,1,17.5,0.3,17.5,U00651
TX50973,2024-07-05,Books,Cookbook,Marketplace,46-55,M,1,20.0,0.2,20.0,U00728
TX51032,2024-07-05,Beauty,Skincare Set,Marketplace,36-45,Other,1,89,0,89,U00189
TX51163,2024-07-05,Beauty,Face Mask,Web,36-45,F,1,16.2,0.1,16.2,U00256
TX51961,2024-07-05,Clothing,Hoodie,Marketplace,36-45,Other,2,55,0,110,U00662
TX52009,2024-07-05,Books,Tech Manual,Social Media,18-25,F,1,45,0,45,U00891
TX52409,2024-07-05,Beauty,Face Mask,Web,46-55,M,3,18,0,54,U00875
TX51751,2024-07-06,Home,Rug,Web,46-55,F,1,108.0,0.1,108.0,U00147
TX52340,2024-07-06,Electronics,Bluetooth Speaker,Social Media,18-25,F,3,71.1,0.1,213.3,U00494
TX52451,2024-07-06,Home,Lamp,Mobile App,26-35,F,1,49.5,0.1,49.5,U00826
TX50540,2024-07-07,Home,Pillow,Social Media,46-55,Other,1,35,0,35,U00498
TX50891,2024-07-07,Beauty,Perfume,Marketplace,26-35,M,1,110,0,110,U00077
TX51324,2024-07-07,Clothing,T-Shirt,Social Media,46-55,Other,1,28,0,28,U00614
TX51737,2024-07-07,Home,Pillow,Web,36-45,F,2,31.5,0.1,63.0,U00524
TX51775,2024-07-07,Clothing,Jeans,Mobile App,26-35,F,1,65,0,65,U00268
TX51823,2024-07-07,Books,Fiction Novel,Social Media,26-35,Other,3,14.4,0.2,43.2,U00519
TX52231,2024-07-07,Clothing,Dress,Web,18-25,Other,1,75,0,75,U00652
TX50000,2024-07-08,Clothing,Hoodie,Mobile App,26-35,F,1,49.5,0.1,49.5,U00837
TX50142,2024-07-08,Books,Tech Manual,Web,26-35,M,1,45,0,45,U00514
TX50801,2024-07-08,Books,Fiction Novel,Social Media,46-55,F,1,18,0,18,U00739
TX50878,2024-07-08,Books,Cookbook,Mobile App,56+,Other,1,22.5,0.1,22.5,U00651
TX50879,2024-07-08,Books,Cookbook,Mobile App,18-25,F,1,25,0,25,U00871
TX51194,2024-07-08,Books,Cookbook,Web,26-35,M,1,22.5,0.1,22.5,U00199
TX52232,2024-07-08,Clothing,Jeans,Marketplace,26-35,M,1,65,0,65,U00784
TX52307,2024-07-08,Home,Curtain,Social Media,56+,Other,1,65,0,65,U00146
TX50144,2024-07-09,Beauty,Lipstick,Web,46-55,Other,1,22,0,22,U00103
TX50155,2024-07-09,Electronics,Smart Watch,Web,46-55,Other,1,199,0,199,U00556
TX51036,2024-07-09,Clothing,T-Shirt,Marketplace,56+,M,2,22.4,0.2,44.8,U00093
TX52320,2024-07-09,Beauty,Skincare Set,Marketplace,36-45,F,1,71.2,0.2,71.2,U00162
TX52327,2024-07-09,Books,Fiction Novel,Marketplace,18-25,Other,1,18,0,18,U00009
TX51371,2024-07-10,Electronics,Phone Case,Mobile App,46-55,F,1,25,0,25,U00052
TX51387,2024-07-10,Electronics,Charger,Web,46-55,F,1,31.5,0.1,31.5,U00346
TX52422,2024-07-10,Home,Pillow,Social Media,36-45,M,3,35,0,105,U00141
TX52486,2024-07-10,Home,Pillow,Mobile App,56+,M,1,31.5,0.1,31.5,U00138
TX50924,2024-07-11,Beauty,Skincare Set,Marketplace,36-45,F,1,89,0,89,U00637
TX51837,2024-07-11,Books,Self-Help,Web,18-25,M,1,22,0,22,U00522
TX51978,2024-07-11,Home,Curtain,Marketplace,46-55,Other,1,45.5,0.3,45.5,U00893
TX52201,2024-07-11,Beauty,Face Mask,Marketplace,18-25,Other,1,18,0,18,U00719
TX52331,2024-07-11,Electronics,Headphones,Marketplace,46-55,M,2,89,0,178,U00864
TX52436,2024-07-11,Home,Rug,Mobile App,36-45,F,1,120,0,120,U00664
TX50136,2024-07-12,Clothing,Jeans,Mobile App,46-55,Other,1,45.5,0.3,45.5,U00430
TX51200,2024-07-12,Clothing,Dress,Web,36-45,M,1,75,0,75,U00188
TX51418,2024-07-12,Beauty,Face Mask,Mobile App,36-45,F,1,16.2,0.1,16.2,U00320
TX51723,2024-07-12,Clothing,T-Shirt,Mobile App,46-55,F,1,28,0,28,U00680
TX51777,2024-07-12,Clothing,Hoodie,Marketplace,56+,Other,2,55,0,110,U00899
TX51872,2024-07-12,Electronics,Charger,Mobile App,18-25,F,2,35,0,70,U00098
TX52221,2024-07-12,Clothing,Sneakers,Marketplace,18-25,Other,1,95,0,95,U00726
TX50354,2024-07-13,Electronics,Bluetooth Speaker,Mobile App,26-35,F,1,63.2,0.2,63.2,U00608
TX50495,2024-07-13,Home,Lamp,Web,36-45,F,1,44.0,0.2,44.0,U00040
TX50832,2024-07-13,Beauty,Perfume,Mobile App,18-25,M,1,110,0,110,U00368
TX51072,2024-07-13,Clothing,Sneakers,Web,36-45,M,1,76.0,0.2,76.0,U00225
TX51244,2024-07-13,Beauty,Hair Dryer,Marketplace,36-45,M,2,65,0,130,U00043
TX51367,2024-07-13,Beauty,Hair Dryer,Web,26-35,Other,1,65,0,65,U00667
