order_id,order_date,store_location,drink_name,drink_type,quantity,unit_price,revenue,payment_method,customer_type,customer_id
ORD11902,2024-01-11,Chicago,Smoothie,cold,1,8.4,8.4,Google Pay,Member,C0357
ORD12009,2024-01-11,Brooklyn,Espresso,hot,3,3.5,10.5,Cash,First-time,C0570
ORD12318,2024-01-11,Manhattan,Cold Brew,cold,1,7.0,7.0,Google Pay,Member,C0276
ORD12529,2024-01-11,Queens,Latte,hot,3,6.6,19.8,Google Pay,First-time,C0701
ORD10406,2024-01-12,Queens,Cappuccino,hot,2,7.0,14.0,Credit Card,Member,C0722
ORD10465,2024-01-12,Queens,Cappuccino,hot,1,6.0,6.0,Credit Card,Member,C0656
ORD10968,2024-01-12,Portland,Espresso,hot,2,3.5,7.0,Google Pay,First-time,C0114
ORD11136,2024-01-12,Chicago,Iced Coffee,cold,1,5.4,5.4,Apple Pay,Member,C0401
ORD11694,2024-01-12,Boston,Matcha Latte,hot,2,8.4,16.8,Google Pay,First-time,C0152
ORD12404,2024-01-12,Queens,Chai Latte,hot,1,6.6,6.6,Credit Card,Member,C0306
ORD12740,2024-01-12,Queens,Matcha Latte,hot,1,8.4,8.4,Google Pay,First-time,C0763
ORD10984,2024-01-13,Portland,Matcha Latte,hot,2,7.2,14.4,Credit Card,Regular,C0634
ORD11089,2024-01-13,Austin,Iced Coffee,cold,1,5.4,5.4,Cash,First-time,C0713
ORD11290,2024-01-13,Queens,Frappuccino,cold,2,7.8,15.6,Cash,Regular,C0669
ORD11467,2024-01-13,Seattle,Latte,hot,1,5.5,5.5,Google Pay,First-time,C0411
ORD12227,2024-01-13,Brooklyn,Cappuccino,hot,1,6.0,6.0,Google Pay,Regular,C0259
ORD12360,2024-01-13,Austin,Espresso,hot,1,4.9,4.9,Apple Pay,First-time,C0086
ORD12434,2024-01-13,Chicago,Iced Coffee,cold,3,6.3,18.9,Cash,Member,C0474
ORD10422,2024-01-14,Queens,Hot Chocolate,hot,1,4.5,4.5,Credit Card,Member,C0408
ORD10740,2024-01-14,Boston,Cappuccino,hot,1,5.0,5.0,Apple Pay,Member,C0136
ORD11117,2024-01-14,Brooklyn,Matcha Latte,hot,1,7.2,7.2,Cash,Member,C0463
ORD11284,2024-01-14,Austin,Matcha Latte,hot,2,7.2,14.4,Apple Pay,Regular,C0586
ORD11629,2024-01-14,Seattle,Cold Brew,cold,1,6.0,6.0,Cash,Regular,C0790
ORD11686,2024-01-14,Seattle,Smoothie,cold,4,7.0,28.0,Cash,Member,C0664
ORD12216,2024-01-14,Chicago,Matcha Latte,hot,1,7.2,7.2,Apple Pay,Regular,C0501
ORD12442,2024-01-14,Queens,Chai Latte,hot,2,7.7,15.4,Cash,Member,C0131
ORD10120,2024-01-15,Austin,Latte,hot,1,5.5,5.5,Cash,Regular,C0544
ORD10225,2024-01-15,Manhattan,Hot Chocolate,hot,2,4.5,9.0,Cash,First-time,C0427
ORD10865,2024-01-15,Manhattan,Americano,hot,2,4.0,8.0,Credit Card,First-time,C0350
ORD10882,2024-01-15,Portland,Hot Chocolate,hot,1,5.4,5.4,Credit Card,First-time,C0498
ORD10897,2024-01-15,Manhattan,Hot Chocolate,hot,2,5.4,10.8,Cash,Regular,C0411
ORD11077,2024-01-15,Austin,Espresso,hot,2,3.5,7.0,Credit Card,First-time,C0172
ORD11124,2024-01-15,Austin,Cold Brew,cold,2,5.0,10.0,Apple Pay,First-time,C0488
ORD11459,2024-01-15,Portland,Matcha Latte,hot,1,8.4,8.4,Google Pay,Regular,C0576
ORD10372,2024-01-16,Chicago,Mocha,hot,1,6.0,6.0,Credit Card,Member,C0467
ORD10668,2024-01-16,Austin,Cold Brew,cold,4,5.0,20.0,Apple Pay,Regular,C0798
ORD10857,2024-01-16,Manhattan,Cappuccino,hot,1,5.0,5.0,Cash,Member,C0620
ORD11298,2024-01-16,Manhattan,Matcha Latte,hot,1,6.0,6.0,Apple Pay,Regular,C0223
ORD11299,2024-01-16,Queens,Espresso,hot,1,4.2,4.2,Cash,Member,C0281
ORD11976,2024-01-16,Chicago,Cold Brew,cold,1,6.0,6.0,Google Pay,Regular,C0172
ORD12139,2024-01-16,Austin,Cold Brew,cold,1,6.0,6.0,Google Pay,First-time,C0040
ORD12140,2024-01-16,Brooklyn,Americano,hot,1,4.8,4.8,Apple Pay,Member,C0275
ORD12240,2024-01-16,Brooklyn,Matcha Latte,hot,3,8.4,25.2,Apple Pay,First-time,C0142
ORD12294,2024-01-16,Chicago,Hot Chocolate,hot,1,4.5,4.5,Google Pay,Member,C0732
ORD12430,2024-01-16,Brooklyn,Frappuccino,cold,3,9.1,27.3,Cash,Regular,C0124
ORD12711,2024-01-16,Queens,Espresso,hot,4,3.5,14.0,Google Pay,Regular,C0360
ORD12963,2024-01-16,Manhattan,Mocha,hot,1,7.2,7.2,Google Pay,Member,C0017
ORD10582,2024-01-17,Austin,Cold Brew,cold,3,6.0,18.0,Google Pay,Regular,C0716
ORD11389,2024-01-17,Chicago,Mocha,hot,1,8.4,8.4,Credit Card,Regular,C0210
ORD11518,2024-01-17,Brooklyn,Matcha Latte,hot,2,6.0,12.0,Cash,Member,C0601
ORD11765,2024-01-17,Manhattan,Smoothie,cold,1,7.0,7.0,Cash,Member,C0390
ORD11851,2024-01-17,Austin,Iced Coffee,cold,1,5.4,5.4,Google Pay,First-time,C0789
ORD11943,2024-01-17,Portland,Iced Coffee,cold,2,6.3,12.6,Apple Pay,First-time,C0586
ORD12174,2024-01-17,Queens,Chai Latte,hot,1,7.7,7.7,Google Pay,Member,C0674
ORD12501,2024-01-17,Austin,Smoothie,cold,2,7.0,14.0,Apple Pay,Member,C0772
ORD10752,2024-01-18,Brooklyn,Latte,hot,3,6.6,19.8,Cash,First-time,C0654
ORD11808,2024-01-18,Portland,Iced Coffee,cold,1,5.4,5.4,Credit Card,First-time,C0735
ORD12130,2024-01-18,Seattle,Hot Chocolate,hot,2,5.4,10.8,Apple Pay,First-time,C0299
ORD12316,2024-01-18,Seattle,Smoothie,cold,2,7.0,14.0,Google Pay,Regular,C0004
ORD12651,2024-01-18,Portland,Espresso,hot,1,4.2,4.2,Credit Card,First-time,C0506
ORD12657,2024-01-18,Austin,Frappuccino,cold,1,6.5,6.5,Apple Pay,Regular,C0021
ORD10451,2024-01-19,Seattle,Iced Coffee,cold,2,4.5,9.0,Google Pay,First-time,C0368
ORD12298,2024-01-19,Brooklyn,Matcha Latte,hot,1,8.4,8.4,Google Pay,Member,C0518
ORD12722,2024-01-19,Brooklyn,Matcha Latte,hot,1,7.2,7.2,Apple Pay,Regular,C0129
ORD10174,2024-01-20,Austin,Mocha,hot,1,8.4,8.4,Credit Card,First-time,C0609
ORD10460,2024-01-20,Seattle,Smoothie,cold,1,7.0,7.0,Apple Pay,First-time,C0196
ORD10778,2024-01-20,Queens,Smoothie,cold,1,9.8,9.8,Apple Pay,Member,C0429
ORD11417,2024-01-20,Boston,Chai Latte,hot,1,6.6,6.6,Cash,Regular,C0732
ORD12228,2024-01-20,Portland,Chai Latte,hot,1,6.6,6.6,Credit Card,First-time,C0577
ORD12900,2024-01-20,Chicago,Frappuccino,cold,2,7.8,15.6,Google Pay,Member,C0600
ORD10034,2024-01-21,Brooklyn,Cold Brew,cold,2,6.0,12.0,Apple Pay,Member,C0210
ORD10542,2024-01-21,Austin,Cappuccino,hot,2,6.0,12.0,Apple Pay,First-time,C0270
ORD11313,2024-01-21,Manhattan,Cappuccino,hot,1,7.0,7.0,Google Pay,First-time,C0309
ORD11444,2024-01-21,Seattle,Latte,hot,1,7.7,7.7,Apple Pay,Regular,C0289
ORD11575,2024-01-21,Chicago,Smoothie,cold,3,8.4,25.2,Google Pay,Member,C0128
ORD11998,2024-01-21,Seattle,Smoothie,cold,1,7.0,7.0,Google Pay,Regular,C0224
ORD12043,2024-01-21,Chicago,Frappuccino,cold,1,7.8,7.8,Credit Card,First-time,C0268
ORD12189,2024-01-21,Manhattan,Mocha,hot,4,6.0,24.0,Google Pay,First-time,C0084
ORD10541,2024-01-22,Seattle,Matcha Latte,hot,3,6.0,18.0,Google Pay,Member,C0048
ORD10616,2024-01-22,Brooklyn,Mocha,hot,1,6.0,6.0,Apple Pay,Regular,C0683
ORD11045,2024-01-22,Austin,Cold Brew,cold,1,6.0,6.0,Apple Pay,Member,C0325
ORD11346,2024-01-22,Austin,Chai Latte,hot,1,6.6,6.6,Apple Pay,Member,C0113
ORD11712,2024-01-22,Manhattan,Frappuccino,cold,2,9.1,18.2,Credit Card,First-time,C0094
ORD11732,2024-01-22,Seattle,Espresso,hot,2,3.5,7.0,Credit Card,Regular,C0350
ORD11913,2024-01-22,Chicago,Americano,hot,1,4.8,4.8,Google Pay,First-time,C0773
ORD12230,2024-01-22,Manhattan,Chai Latte,hot,1,7.7,7.7,Google Pay,Member,C0621
ORD12357,2024-01-22,Portland,Smoothie,cold,1,9.8,9.8,Credit Card,Regular,C0103
ORD12401,2024-01-22,Queens,Matcha Latte,hot,1,6.0,6.0,Credit Card,Member,C0260
ORD12643,2024-01-22,Brooklyn,Latte,hot,1,6.6,6.6,Credit Card,Regular,C0503
ORD10187,2024-01-23,Austin,Hot Chocolate,hot,2,6.3,12.6,Apple Pay,First-time,C0460
ORD10200,2024-01-23,Chicago,Iced Coffee,cold,1,4.5,4.5,Credit Card,Member,C0247
ORD10548,2024-01-23,Queens,Americano,hot,2,4.0,8.0,Cash,Regular,C0171
ORD10707,2024-01-23,Brooklyn,Iced Coffee,cold,1,4.5,4.5,Apple Pay,Regular,C0592
ORD11224,2024-01-23,Queens,Americano,hot,1,4.0,4.0,Cash,First-time,C0436
ORD11833,2024-01-23,Brooklyn,Mocha,hot,2,7.2,14.4,Cash,Member,C0025
ORD12116,2024-01-23,Brooklyn,Cold Brew,cold,1,7.0,7.0,Cash,Member,C0210
ORD12310,2024-01-23,Brooklyn,Latte,hot,1,5.5,5.5,Credit Card,Regular,C0065
ORD12365,2024-01-23,Boston,Cappuccino,hot,2,6.0,12.0,Cash,Member,C0610
ORD12490,2024-01-23,Austin,Mocha,hot,3,7.2,21.6,Cash,Member,C0646
ORD12685,2024-01-23,Chicago,Chai Latte,hot,2,6.6,13.2,Cash,Member,C0623
ORD10006,2024-01-24,Seattle,Mocha,hot,4,8.4,33.6,Credit Card,Member,C0285
ORD10235,2024-01-24,Manhattan,Chai Latte,hot,1,5.5,5.5,Apple Pay,Regular,C0396
ORD10770,2024-01-24,Queens,Latte,hot,1,5.5,5.5,Apple Pay,Regular,C0468
ORD10773,2024-01-24,Queens,Iced Coffee,cold,1,4.5,4.5,Google Pay,Regular,C0714
ORD10954,2024-01-24,Portland,Americano,hot,3,5.6,16.8,Credit Card,First-time,C0052
ORD11152,2024-01-24,Portland,Hot Chocolate,hot,1,4.5,4.5,Google Pay,First-time,C0321
ORD12243,2024-01-24,Boston,Iced Coffee,cold,1,4.5,4.5,Cash,Regular,C0390
ORD12369,2024-01-24,Portland,Cappuccino,hot,1,5.0,5.0,Credit Card,Regular,C0670
ORD12384,2024-01-24,Seattle,Cold Brew,cold,2,7.0,14.0,Credit Card,First-time,C0145
ORD12512,2024-01-24,Portland,Frappuccino,cold,1,9.1,9.1,Credit Card,Regular,C0466
ORD12714,2024-01-24,Portland,Hot Chocolate,hot,1,4.5,4.5,Google Pay,Member,C0225
ORD12837,2024-01-24,Manhattan,Matcha Latte,hot,1,7.2,7.2,Credit Card,Member,C0410
ORD12979,2024-01-24,Seattle,Hot Chocolate,hot,1,5.4,5.4,Apple Pay,First-time,C0001
ORD10013,2024-01-25,Brooklyn,Americano,hot,2,4.8,9.6,Google Pay,First-time,C0066
ORD10205,2024-01-25,Austin,Mocha,hot,1,6.0,6.0,Google Pay,First-time,C0451
ORD10233,2024-01-25,Portland,Frappuccino,cold,1,9.1,9.1,Google Pay,Member,C0550
ORD10351,2024-01-25,Brooklyn,Hot Chocolate,hot,2,5.4,10.8,Credit Card,Regular,C0452
ORD10414,2024-01-25,Boston,Smoothie,cold,1,7.0,7.0,Google Pay,Member,C0388
ORD10505,2024-01-25,Chicago,Cold Brew,cold,1,6.0,6.0,Apple Pay,First-time,C0056
ORD10811,2024-01-25,Austin,Mocha,hot,1,6.0,6.0,Cash,First-time,C0549
ORD11075,2024-01-25,Brooklyn,Cold Brew,cold,2,6.0,12.0,Credit Card,Regular,C0791
ORD10474,2024-01-26,Queens,Latte,hot,3,5.5,16.5,Apple Pay,Member,C0757
ORD10610,2024-01-26,Manhattan,Americano,hot,4,4.0,16.0,Cash,First-time,C0449
ORD10688,2024-01-26,Chicago,Americano,hot,1,4.0,4.0,Cash,Member,C0768
ORD11310,2024-01-26,Boston,Frappuccino,cold,1,6.5,6.5,Credit Card,Regular,C0464
ORD11332,2024-01-26,Seattle,Cappuccino,hot,1,5.0,5.0,Credit Card,First-time,C0273
ORD11350,2024-01-26,Queens,Iced Coffee,cold,3,5.4,16.2,Cash,Regular,C0731
ORD12115,2024-01-26,Queens,Chai Latte,hot,1,5.5,5.5,Google Pay,Member,C0523
ORD12696,2024-01-26,Portland,Hot Chocolate,hot,1,5.4,5.4,Credit Card,First-time,C0251
ORD12902,2024-01-26,Queens,Chai Latte,hot,1,5.5,5.5,Google Pay,First-time,C0635
ORD12956,2024-01-26,Chicago,Latte,hot,1,7.7,7.7,Apple Pay,Member,C0303
ORD10252,2024-01-27,Chicago,Iced Coffee,cold,2,4.5,9.0,Cash,Regular,C0564
ORD11292,2024-01-27,Brooklyn,Americano,hot,2,4.8,9.6,Credit Card,Regular,C0471
ORD11748,2024-01-27,Seattle,Iced Coffee,cold,1,4.5,4.5,Google Pay,First-time,C0443
ORD12601,2024-01-27,Manhattan,Iced Coffee,cold,1,4.5,4.5,Google Pay,Member,C0315
ORD10026,2024-01-28,Brooklyn,Latte,hot,1,5.5,5.5,Credit Card,Regular,C0197
ORD10089,2024-01-28,Portland,Smoothie,cold,3,8.4,25.2,Google Pay,Regular,C0013
ORD10363,2024-01-28,Seattle,Frappuccino,cold,1,6.5,6.5,Credit Card,First-time,C0013
ORD10488,2024-01-28,Seattle,Frappuccino,cold,1,7.8,7.8,Google Pay,First-time,C0673
ORD10891,2024-01-28,Seattle,Mocha,hot,1,6.0,6.0,Apple Pay,First-time,C0125
ORD11244,2024-01-28,Austin,Hot Chocolate,hot,1,4.5,4.5,Credit Card,Regular,C0372
ORD11330,2024-01-28,Portland,Iced Coffee,cold,1,5.4,5.4,Google Pay,Regular,C0302
ORD12104,2024-01-28,Chicago,Americano,hot,3,4.8,14.4,Google Pay,First-time,C0422
ORD12343,2024-01-28,Queens,Espresso,hot,1,4.2,4.2,Google Pay,First-time,C0322
ORD12939,2024-01-28,Chicago,Frappuccino,cold,1,7.8,7.8,Google Pay,Regular,C0611
ORD10277,2024-01-29,Portland,Espresso,hot,2,4.2,8.4,Apple Pay,First-time,C0613
ORD11360,2024-01-29,Brooklyn,Iced Coffee,cold,1,6.3,6.3,Google Pay,First-time,C0340
ORD11772,2024-01-29,Queens,Espresso,hot,3,4.9,14.7,Cash,Regular,C0736
ORD11813,2024-01-29,Manhattan,Latte,hot,2,6.6,13.2,Google Pay,Regular,C0044
ORD12658,2024-01-29,Boston,Smoothie,cold,1,8.4,8.4,Credit Card,First-time,C0221
ORD12938,2024-01-29,Seattle,Chai Latte,hot,4,5.5,22.0,Credit Card,First-time,C0520
ORD10210,2024-01-30,Chicago,Iced Coffee,cold,1,5.4,5.4,Cash,Regular,C0147
ORD10631,2024-01-30,Portland,Matcha Latte,hot,1,6.0,6.0,Apple Pay,Regular,C0222
ORD11116,2024-01-30,Austin,Cappuccino,hot,1,7.0,7.0,Google Pay,First-time,C0143
ORD11260,2024-01-30,Seattle,Smoothie,cold,2,7.0,14.0,Credit Card,Member,C0385
ORD11409,2024-01-30,Brooklyn,Matcha Latte,hot,1,7.2,7.2,Apple Pay,First-time,C0475
ORD11502,2024-01-30,Manhattan,Smoothie,cold,3,9.8,29.4,Google Pay,Member,C0178
ORD11736,2024-01-30,Brooklyn,Cold Brew,cold,1,5.0,5.0,Cash,First-time,C0330
ORD12226,2024-01-30,Chicago,Cold Brew,cold,1,5.0,5.0,Apple Pay,First-time,C0604
ORD12510,2024-01-30,Portland,Hot Chocolate,hot,1,4.5,4.5,Cash,Regular,C0753
ORD12824,2024-01-30,Austin,Hot Chocolate,hot,1,5.4,5.4,Cash,First-time,C0555
ORD10094,2024-01-31,Brooklyn,Espresso,hot,2,3.5,7.0,Credit Card,Regular,C0246
ORD10153,2024-01-31,Austin,Hot Chocolate,hot,1,4.5,4.5,Google Pay,First-time,C0053
ORD10366,2024-01-31,Chicago,Matcha Latte,hot,1,7.2,7.2,Google Pay,Member,C0719
ORD10620,2024-01-31,Queens,Smoothie,cold,1,7.0,7.0,Google Pay,Regular,C0325
ORD10969,2024-01-31,Austin,Mocha,hot,2,6.0,12.0,Credit Card,First-time,C0128
ORD11233,2024-01-31,Austin,Iced Coffee,cold,2,6.3,12.6,Cash,Member,C0472
ORD12362,2024-01-31,Queens,Cold Brew,cold,2,6.0,12.0,Credit Card,Regular,C0328
ORD12794,2024-01-31,Chicago,Smoothie,cold,1,7.0,7.0,Apple Pay,Regular,C0465
ORD10266,2024-02-01,Seattle,Chai Latte,hot,1,5.5,5.5,Google Pay,Regular,C0697
ORD10392,2024-02-01,Seattle,Americano,hot,1,4.8,4.8,Credit Card,First-time,C0601
ORD10662,2024-02-01,Portland,Cold Brew,cold,3,7.0,21.0,Credit Card,First-time,C0287
ORD10973,2024-02-01,Queens,Frappuccino,cold,1,6.5,6.5,Google Pay,First-time,C0573
ORD11361,2024-02-01,Manhattan,Smoothie,cold,1,7.0,7.0,Google Pay,Regular,C0229
ORD11378,2024-02-01,Portland,Cappuccino,hot,1,6.0,6.0,Google Pay,Member,C0622
ORD11802,2024-02-01,Seattle,Matcha Latte,hot,2,6.0,12.0,Google Pay,Member,C0718
ORD12049,2024-02-01,Manhattan,Cappuccino,hot,3,5.0,15.0,Credit Card,First-time,C0542
ORD12270,2024-02-01,Chicago,Espresso,hot,1,3.5,3.5,Cash,Regular,C0528
ORD12304,2024-02-01,Austin,Frappuccino,cold,1,6.5,6.5,Google Pay,Regular,C0281
ORD12690,2024-02-01,Manhattan,Matcha Latte,hot,1,6.0,6.0,Apple Pay,First-time,C0732
ORD12766,2024-02-01,Brooklyn,Frappuccino,cold,1,9.1,9.1,Credit Card,Regular,C0453
